# nom	paquet — index de la bibliothèque standard SysML v2.
# Généré par tools/gen-stdlib.py --fetch ; ne pas éditer à la main.
# Source : https://github.com/Systems-Modeling/SysML-v2-Release (sysml.library/, master)
CartesianVelocity3dVector	ISQSpaceTime
CartesianWave3dVector	ISQSpaceTime
CartesianWaveVector3dCoordinateFrame	ISQSpaceTime
CartesianWeight3dVector	ISQMechanics
Case	Cases
CauchyNumberValue	ISQCharacteristicNumbers
Causation	CausationConnections
CausationMetadata	CauseAndEffect
CausationSemanticMetadadata	CauseAndEffect
CauseMetadata	CauseAndEffect
CavitationNumberValue	ISQCharacteristicNumbers
CelsiusTemperatureUnit	ISQThermodynamics
CelsiusTemperatureValue	ISQThermodynamics
ChandrasekharNumberValue	ISQCharacteristicNumbers
ChangeMonitor	Observation
ChangeSignal	Observation
ChannelCapacityPerCharacterUnit	ISQInformation
ChannelCapacityPerCharacterValue	ISQInformation
ChannelTimeCapacityUnit	ISQInformation
ChannelTimeCapacityValue	ISQInformation
CharacterMeanEntropyUnit	ISQInformation
CharacterMeanEntropyValue	ISQInformation
CharacterMeanTransinformationContentUnit	ISQInformation
CharacterMeanTransinformationContentValue	ISQInformation
CharacteristicImpedanceOfAMediumForLongitudinalWavesUnit	ISQAcoustics
CharacteristicImpedanceOfAMediumForLongitudinalWavesValue	ISQAcoustics
ChargeNumberValue	ISQAtomicNuclear
ChemicalPotentialUnit	ISQChemistryMolecular
ChemicalPotentialValue	ISQChemistryMolecular
ChromaticityCoordinatesInTheCie1931StandardColorimetricSystemValue	ISQLight
ChromaticityCoordinatesInTheCie1964StandardColorimetricSystemValue	ISQLight
CieColourMatchingFunctionsForTheCie1931StandardColorimetricObserverValue	ISQLight
CieColourMatchingFunctionsForTheCie1964StandardColorimetricObserverValue	ISQLight
Circle	ShapeItems
CircularCone	ShapeItems
CircularCylinder	ShapeItems
CircularDisc	ShapeItems
ClausiusNumberValue	ISQCharacteristicNumbers
Clock	Time
